feature,Q01_C,Q01_ISBLK,Q01_N,Q01_NC10,Q01_NC20,Q01_NC30,Q01_NC40,Q01_NC50,Q01_NC75,Q01_QC_1,Q01_QC_10,Q01_QC_11,Q01_QC_2,Q01_QC_3,Q01_QC_4,Q01_QC_5,Q01_QC_6,Q01_QC_7,Q01_QC_8,Q01_QC_9,S01_RD001,S01_RD002,S01_RD003,S01_RD004,S01_RD005,S01_RD006,S01_RD007,S01_RD008,S01_RD009,S01_RD010,S01_RD011,S01_RD012,S01_RD013,S01_RD014,S01_RD015,S01_RD016,S01_RD017,S01_RD018,S01_RD019,S01_RD020,S01_RD021,S01_RD022,S01_RD023,S01_RD024,S01_RD025,S01_RD026,S01_RD027,S01_RD028,S01_RD029,S01_RD030,S01_RD031,S01_RD032,S01_RD033,S01_RD034,S01_RD035,S01_RD036,S01_RD037,S01_RD038,S01_RD039,S01_RD040,S01_RD041,S01_RD042,S01_RD043,S01_RD044,S01_RD045,S01_RD046,S01_RD047,S01_RD048,S01_RD049,S01_RD050,S01_RD051,S01_RD052,S01_RD053,S01_RD054,S01_RD055,S01_RD056,S01_RD057,S01_RD058,S01_RD059,S01_RD060,S01_RD061,S01_RD062,S01_RD063,S01_RD064,S01_RD065,S01_RD066,S01_RD067,S01_RD068,S01_RD069,S01_RD070,S01_RD071,S01_RD072,S01_RD073,S01_RD074,S01_RD075,S01_RD076,S01_RD077,S01_RD078,S01_RD079,S01_RD080,S01_RD081,S01_RD082,S01_RD083,S01_RD084,S01_RD085,S01_RD086,S01_RD087,S01_RD088,S01_RD089,S01_RD090,S01_RD091,S01_RD092,S01_RD093,S01_RD094,S01_RD095,S01_RD096,S01_RD097,S01_RD098,S01_RD099,S01_RD100
DS01,659639,10812,395994,439697,354497,389520,428863,409068,466038,488312,504104,504511,493842,485810,510482,521466,590059,514451,536523,499869,128310,297790,149750,81076,1850808,4062514,737884,921967,87011,649455,127633,97191,884197,44644,1087207,1866049,150138,158627,146161,149249,1331302,4839429,131542,2714012,1398678,408796,1654647,228565,139557,79089,114279,10149773,120516,186535,114583,249113,31037,389280,3506747,178571,646600,3019469,169654,4756291,83438,287058,1542755,334678,283715,654938,389305,163797,123942,264802,169944,123718,4101807,486938,387924,52233,643169,2006710,118288,959269,87130,1298360,60401,277180,58382,95401,73268,340706,101289,185364,50346,37739,402455,459421,256830,216481,814137,293924,168254,235973,238121,3021122,127754,57047,349432,290438,1129905,157457,297845,125844,485372,287720,55524,122998,171146,179719
DS02,1811007,8629,938797,976216,1049351,1214114,1229385,1189979,1250999,1452892,1463153,1352710,1307549,1433502,1435327,1366552,1418898,1464033,1190466,1359415,192406,1264018,581427,313103,975797,8943991,1742650,7446710,250242,424209,95765,299572,2287552,179488,1671958,3221213,160312,207083,1135989,332526,4685154,14026006,90814,3691402,4811205,24719,2258038,1854939,564412,193446,411879,15426230,1286706,422419,102744,691179,42460,463430,12373388,276199,276245,10337598,80869,8717815,382030,866708,4933896,2865050,478878,476614,1514310,89293,498510,324808,410012,215412,4680777,2980769,361611,118853,3877211,5648917,96843,1593709,398026,1910372,158233,561113,259615,895216,274333,824540,406438,461149,115688,24415,530512,486278,2497954,2430100,1614269,5703475,279466,2917334,1576222,5981347,482146,788000,4350185,1018572,4696038,548509,2300681,599173,4580824,543286,101460,1907581,918899,1580424
DS03,1481894,2811,1958271,1717064,1603428,1805119,1816942,1476380,1269550,1908423,1810799,1746461,1620372,1732890,1822043,1767364,1766058,1738973,1766921,1742226,1605988,2191589,3136097,4573660,2327774,9295808,2107993,1566684,840101,2533707,1414395,2484062,3108981,674301,894031,10217673,664752,1257861,322353,6437,-28551,13474952,5938322,3602131,308291,464475,1553522,1248442,4737,598917,1500690,8564121,4926368,2898975,201203,1675523,1624438,1594574,6034188,1434814,310106,-28638,6947,5604654,3588292,2059577,1089269,-39101,-2393,2858873,-47740,605696,680439,712523,2251790,666690,3328962,4934538,2656666,38769,2529095,6820562,526429,340670,4245564,3382941,705458,588345,1423239,240,5695,3760479,1796332,985459,296358,142237,1291809,1577743,2135062,7695051,1953321,704775,1932180,-18150,-11835,10373971,-11047,869506,190736,-13404,1713869,2055108,108933,-5950,-186804,1007026,356457,4375882,46909,4483783
DS04,41172,560,29070,31385,33999,30784,39924,33599,35338,38241,43100,41038,45285,45974,44477,44163,46467,49072,41859,44569,24551,10902,61123,24599,10522,47244,90342,78972,103214,23851,38709,12672,19863,12362,17418,39332,3367,162194,24877,76778,27396,32146,5680,82127,48457,21544,12881,21773,42760,5375,12308,405946,11216,18440,3039,130267,5581,33099,29814,131254,6916,45343,68235,106902,51408,21667,19830,30983,346265,15801,20846,23359,89888,28557,7327,10150,13765,10106,4935,53614,24460,19026,33977,14352,11651,336878,8256,111227,36733,6106,37307,73149,82620,47334,29200,20777,16430,114459,14236,18932,45550,21819,79923,24140,45203,321718,71530,17045,8550,4876,19441,28449,20753,77968,23705,248575,57094,69043,82447,21900
DS05,439162,1174,234459,285002,294761,310800,333529,316362,336146,466977,407766,411311,393867,416872,425333,386345,371462,401766,377101,383153,366924,156180,684463,161713,80510,873438,399566,2194470,787078,228129,314084,245731,123645,116914,147284,283753,46051,780660,419442,357797,565456,832535,63327,670544,561650,79018,71487,178128,1160464,156919,247950,1555567,179895,163712,27852,589672,105394,367957,299967,929803,87230,497710,205120,1337075,209373,128749,733830,612904,2643463,45887,164886,148699,584197,677469,30240,51076,154551,127694,60538,765907,147466,755493,263914,70172,137486,612848,300659,960220,784007,92239,144529,576714,426042,745328,207920,80963,78015,337076,299977,292287,286630,478866,642303,210057,497670,3170378,971835,842665,321682,97172,368496,739816,234713,429890,862582,2799960,643051,599940,810149,347388
DS06,100965,659,95734,86179,98136,93547,99536,83549,85323,95534,102506,97106,106100,104348,104444,104181,100738,120227,101200,105847,210583,88892,436213,87008,45051,279524,122843,153236,296809,200465,190506,76041,31126,31714,24499,276935,25373,422354,29930,-7306,-7964,257281,126133,93734,18080,82731,23517,45080,-11160,42402,69270,301893,116432,80803,4048,293047,120762,191243,110187,374921,10159,417,4005,235141,65116,96023,40050,-970,-6160,85411,-399,30081,38603,117417,49041,20489,49785,77750,38139,75827,81243,283698,52301,7004,161393,412166,42404,195857,61467,-3742,-2393,262858,148944,89374,35611,44316,61272,327439,46578,180577,145600,17432,189469,-978,-6390,1673740,-7739,102464,4405,429,50184,160778,777,1086,-8457,376834,65475,306429,-2057,166740
DS07,15438,6274,13352,12192,13126,15535,14286,14323,11966,14485,18326,16532,15630,17021,16638,17018,17231,18549,17989,17395,27896,14297,17643,19636,28757,77275,11530,12323,111602,21951,31710,38141,14555,12129,15785,15663,11894,11972,10129,8482,8104,70808,36398,11496,10238,10079,10618,7537,7843,23728,16293,33059,19248,26194,9710,40644,10911,35328,12217,17725,8428,7707,7434,105880,25670,13777,9319,8314,8361,11460,7104,12537,9689,14888,21008,11074,11808,13817,12862,7130,11649,18154,23614,8225,24872,13316,21510,12208,12650,8075,6941,76093,8800,16996,12923,9546,9981,10440,9672,55976,12130,8941,13915,6948,6837,39823,6347,26670,6126,8042,21282,23042,6752,7966,7047,30609,16627,24626,6220,15131
DS08,61983,149,38953,42365,51987,52741,57378,46041,51752,58328,65381,61398,60293,59473,67045,64836,65177,65813,59372,66963,92035,169289,105008,28262,9467,221458,35301,157812,68796,20434,24257,39339,45275,11888,14974,10221,3298,520647,147587,25551,361892,122277,6945,100659,79283,20300,16264,42716,475357,15430,26009,1660890,137699,22564,3050,16664,13699,58735,42593,110539,9058,45473,3905,101923,33414,48346,70096,522309,66983,8999,26691,18503,25275,80183,5252,6447,32185,40063,18310,30589,16344,112642,19567,14479,23680,169794,57900,166426,87192,55987,93342,81821,38068,110896,30882,10136,8758,29808,22689,107579,40161,50133,35525,9164,157131,198008,132216,62721,315806,71189,45830,56344,68593,137191,146061,105171,56890,109694,432940,37927
DS09,13487,761,11018,11255,11937,10328,11030,10890,8504,12568,13650,13038,12688,11092,13641,13723,14476,13625,13914,12888,6083,5545,10727,4671,2494,5663,36327,6935,54757,3453,7956,3387,10577,3749,3506,9222,3235,51439,4403,50590,2451,13530,1374,12680,3444,12440,4340,7668,8255,2045,1979,7454,2470,4086,1170,19651,2308,7373,5298,26352,3040,9235,21099,18645,16372,3593,3663,3326,165124,5125,6042,3211,41202,5595,2885,2833,2526,2473,1492,9128,8976,4167,9174,4749,2759,143579,2726,12252,9891,3732,22481,18110,17678,17865,8981,33079,11651,56111,2832,1764,8715,7699,18792,5110,22766,28506,30589,4737,4453,832,10135,8826,4123,18733,3325,67296,12478,14127,7462,3834
DS10,405411,12486,381410,371200,360078,374922,427619,354481,342814,409996,461380,403030,405774,418824,416983,404249,423355,407047,411902,432389,301492,1021343,323250,363447,197192,1935916,255752,1056684,209393,262947,217177,216232,1356242,103962,174819,360956,66596,334139,606849,44382,3743035,1836363,875994,812303,401029,49366,448462,755987,831273,110000,287484,18626619,2380357,391141,93137,221237,138244,250410,866143,255889,262264,1010146,18732,794346,363613,553394,490134,2051523,47052,187150,437879,69089,166302,147243,444303,80957,1087821,844715,386213,14219,366155,1057773,105751,206212,454198,642774,157631,204267,597689,1168301,464648,436266,246311,320472,89265,28181,174787,157454,440373,1272899,264941,662880,412572,89079,700868,921928,172811,161933,4327304,786808,673853,259780,498641,509685,1069396,150783,78456,408571,771171,392913
